review_id,app_name,review_text_original,skip_category
63c154ae-e6f2-452e-9a22-42ec761e454b,Mekari Flex,Good aplikasi,TERLALU_PENDEK
10598f55-9597-45b0-a57d-84f47fca02a9,Mekari Flex,Cool,TERLALU_PENDEK
5667995e-fd61-476d-88b5-b2d1711ef055,Mekari Flex,Godd,TERLALU_PENDEK
1f16594b-58d6-49e0-b7d3-beab24307731,Mekari Flex,Sangat membantu 👍👍👍,TERLALU_PENDEK
a95ca325-3f14-4b59-bc4b-f1c4320dc820,Mekari Flex,Jossss,TERLALU_PENDEK
a6a97c56-def8-403b-b4da-376b5819420b,Mekari Flex,Good job,TERLALU_PENDEK
14134e68-ecac-45fe-a97b-adec564ea27e,Mekari Flex,Simple,TERLALU_PENDEK
9b6d6927-ccf8-47fd-969f-ab644de3c9a3,Mekari Flex,Sangat membantu...,TERLALU_PENDEK
71367e40-a3f5-4278-afd6-cbf6a9513702,Mekari Flex,Mantap banget,TERLALU_PENDEK
ccb30f36-d9ad-4ac6-8ed0-5a0cb8e19458,Mekari Flex,😀,TERLALU_PENDEK
39822a8e-5d41-42e8-9b42-cd6d0c846b69,Mekari Flex,Real,TERLALU_PENDEK
6d9dc2b9-cd0a-457a-a0a9-4158f9b669be,Mekari Flex,Sat aet,TERLALU_PENDEK
252d2ad6-7389-47f8-8983-61d3bdaa5a4b,Mekari Flex,Mntep,TERLALU_PENDEK
32dd4073-1aa4-44a8-8124-89c50257f165,Mekari Flex,Mantap poooooolllllllll,TERLALU_PENDEK
7c414e0a-ae87-4821-9c0a-3ba5654aea29,Mekari Flex,Selalu Amanah.....👌,TERLALU_PENDEK
b4306713-8fe5-408b-ad47-40e4f7993061,Mekari Flex,ACC dong,TERLALU_PENDEK
97df8b65-8704-4190-9822-220a0baa0f1c,Mekari Flex,Oke banget,TERLALU_PENDEK
a06014ca-9af1-4358-b2c0-df3ed65afb20,Mekari Flex,Aneh,TERLALU_PENDEK
02b43d2e-0e59-4a0f-badf-c191b30d356e,Mekari Flex,Tops,TERLALU_PENDEK
4f8cc4f8-60fb-4c56-836c-61b423c19406,Mekari Flex,Mantabs,TERLALU_PENDEK
a7e32925-50ed-4ff1-90e1-5d95ddce1a9e,Mekari Flex,Sabgat baik,TERLALU_PENDEK
1cdc50e8-d39f-4b91-b020-1ccde2b338a4,Mekari Flex,Sangat memudahkan,TERLALU_PENDEK
c89d89ba-7de7-4b9b-ac7f-c5196fc0945a,Mekari Flex,😊,TERLALU_PENDEK
dc900706-df4a-4569-8ae5-6897a2afd3b8,Mekari Flex,Let's go,TERLALU_PENDEK
17aeb5ca-00cb-4725-a15c-22ef946f091a,Mekari Flex,Lambat,TERLALU_PENDEK
43e694db-2d54-45c9-be6a-76e455fea4ed,Mekari Flex,Memudahkan urusan,TERLALU_PENDEK
49aea4f8-a758-4ce9-b103-d69d2b70643f,Mekari Flex,Oke mantap,TERLALU_PENDEK
b257acc3-61a4-4357-a81b-5056e89ef69a,Mekari Flex,Dicoba,TERLALU_PENDEK
c21eeeec-f0c1-45d8-85c7-06b1f38943ef,Mekari Flex,Asik,TERLALU_PENDEK
7263d631-9df9-44f8-b572-18b2c9789845,Mekari Flex,👌,TERLALU_PENDEK
f7faa12a-34d0-4f7c-b5be-f5731854b60e,Mekari Flex,Membantu banget,TERLALU_PENDEK
200bb6b0-f9b8-45a4-8af7-7eda0ed6b98d,Mekari Flex,Waw,TERLALU_PENDEK
56be65da-6503-4a42-b1f2-dd4f6b35dbe8,Mekari Flex,Ok sih,TERLALU_PENDEK
2ad2a03c-e652-4e19-87ae-c2a191b91e3e,Mekari Flex,Bagus sekali,TERLALU_PENDEK
d8051ba6-1671-46eb-8d38-f62478fd8508,Mekari Flex,kasbon oke,TERLALU_PENDEK
